,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<— 0-127 —>,,,<— 1-128 —>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cc 0,PGM,,cc 0,PGM,,preset name,category,characters,sendmidi command,acoustic-dark,digital-intimate,layered-reverberant,shaking-woody,acoustic,aggressive,airy,analog,atonal,big,bright,chords,clean,dark,digital,distorted,dry,echo,electric,ensemble,evolving,fm,icy,Intimate,layered,lfo,lofi,metallic,morphing,nature,noise,portamento,random,reverberant,shaking,simple,soft,stereo,strumming,synthetic,vocal,warm,woody
,33,39,,34,40,,simpledecay,bass,analog + distorted,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 39",analog,distorted,,,,,,analog,,,,,,,,distorted,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,41,,34,42,,simplerez,bass,analog,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 41",analog,,,,,,,analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,48,,34,49,,smooth operator,bass,acoustic + fm,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 48",acoustic,fm,,,acoustic,,,,,,,,,,,,,,,,,fm,,,,,,,,,,,,,,,,,,,,,
,33,49,,34,50,,solid square,bass,analog,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 49",analog,,,,,,,analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,68,,34,69,,steroids,bass,analog + noise,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 68",analog,,noise,,,,,analog,,,,,,,,,,,,,,,,,,,,,,,noise,,,,,,,,,,,,
,33,74,,34,75,,sub bass 1,bass,analog,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 74",analog,,,,,,,analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,75,,34,76,,subway,bass,analog + clean + dark + fm + simple,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 75",analog + clean + dark,fm,,simple,,,,analog,,,,,clean,dark,,,,,,,,fm,,,,,,,,,,,,,,simple,,,,,,,
,33,77,,34,78,,syncat,bass,analog,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 77",analog,,,,,,,analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,95,,34,96,,thrilla bass,bass,analog + dry,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 95",analog,dry,,,,,,analog,,,,,,,,,dry,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,114,,34,115,,velsquare,bass,analog,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 114",analog,,,,,,,analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,119,,34,120,,vintage wide bass,bass,analog + big + dark + portamento + soft + stereo + warm,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 119",analog + big + dark,,portamento,soft + stereo + warm,,,,analog,,big,,,,dark,,,,,,,,,,,,,,,,,,portamento,,,,,soft,stereo,,,,warm,
,33,125,,34,126,,walking blues,bass,acoustic,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 125",acoustic,,,,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,127,,34,128,,wallface,bass,digital + fm + portamento,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 127",,digital + fm,portamento,,,,,,,,,,,,digital,,,,,,,fm,,,,,,,,,,portamento,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<— 0-127 —>,,,<— 1-128 —>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cc 0,PGM,,cc 0,PGM,,preset name,category,characters,sendmidi command,acoustic-dark,digital-intimate,layered-reverberant,shaking-woody,acoustic,aggressive,airy,analog,atonal,big,bright,chords,clean,dark,digital,distorted,dry,echo,electric,ensemble,evolving,fm,icy,Intimate,layered,lfo,lofi,metallic,morphing,nature,noise,portamento,random,reverberant,shaking,simple,soft,stereo,strumming,synthetic,vocal,warm,woody
,30,20,,31,21,,archer,bowed,acoustic,"sendmidi dev ""Osmose Port 2"" cc 0 30 pc 20",acoustic,,,,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,51,,31,52,,bowreal lights,bowed,acoustic + layered + reverberant,"sendmidi dev ""Osmose Port 2"" cc 0 30 pc 51",acoustic,,layered + reverberant,,acoustic,,,,,,,,,,,,,,,,,,,,layered,,,,,,,,,reverberant,,,,,,,,,
,30,66,,31,67,,cellove,bowed,acoustic + portamento,"sendmidi dev ""Osmose Port 2"" cc 0 30 pc 66",acoustic,,portamento,,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,portamento,,,,,,,,,,,
,30,67,,31,68,,cellovir,bowed,acoustic,"sendmidi dev ""Osmose Port 2"" cc 0 30 pc 67",acoustic,,,,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,68,,31,69,,chamber mellobow,bowed,acoustic + ensemble + lofi + stereo,"sendmidi dev ""Osmose Port 2"" cc 0 30 pc 68",acoustic,ensemble,lofi,stereo,acoustic,,,,,,,,,,,,,,,ensemble,,,,,,,lofi,,,,,,,,,,,stereo,,,,,
,30,69,,31,70,,chamber strings,bowed,acoustic + clean + ensemble,"sendmidi dev ""Osmose Port 2"" cc 0 30 pc 69",acoustic + clean,ensemble,,,acoustic,,,,,,,,clean,,,,,,,ensemble,,,,,,,,,,,,,,,,,,,,,,,
,30,120,,31,121,,duocello,bowed,acoustic + portamento,"sendmidi dev ""Osmose Port 2"" cc 0 30 pc 120",acoustic,,portamento,,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,portamento,,,,,,,,,,,
,31,22,,32,23,,erumi,bowed,acoustic,"sendmidi dev ""Osmose Port 2"" cc 0 31 pc 22",acoustic,,,,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,82,,32,83,,harmod,bowed,acoustic + portamento,"sendmidi dev ""Osmose Port 2"" cc 0 31 pc 82",acoustic,,portamento,,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,portamento,,,,,,,,,,,
,31,92,,32,93,,hybrid strings 1,bowed,analog,"sendmidi dev ""Osmose Port 2"" cc 0 31 pc 92",analog,,,,,,,analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,93,,32,94,,hybrid strings 2,bowed,analog + lofi + noise,"sendmidi dev ""Osmose Port 2"" cc 0 31 pc 93",analog,,lofi + noise,,,,,analog,,,,,,,,,,,,,,,,,,,lofi,,,,noise,,,,,,,,,,,,
,31,94,,32,95,,hybrid strings 3,bowed,acoustic + analog,"sendmidi dev ""Osmose Port 2"" cc 0 31 pc 94",acoustic + analog,,,,acoustic,,,analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,27,,33,28,,lost ensemble,bowed,acoustic + analog + reverberant,"sendmidi dev ""Osmose Port 2"" cc 0 32 pc 27",acoustic + analog,,reverberant,,acoustic,,,analog,,,,,,,,,,,,,,,,,,,,,,,,,,reverberant,,,,,,,,,
,32,61,,33,62,,noisyman,bowed,acoustic,"sendmidi dev ""Osmose Port 2"" cc 0 32 pc 61",acoustic,,,,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,62,,33,63,,noisypad,bowed,acoustic + noise,"sendmidi dev ""Osmose Port 2"" cc 0 32 pc 62",acoustic,,noise,,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,noise,,,,,,,,,,,,
,32,67,,33,68,,numens strings,bowed,acoustic,"sendmidi dev ""Osmose Port 2"" cc 0 32 pc 67",acoustic,,,,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,98,,33,99,,pajestric,bowed,layered,"sendmidi dev ""Osmose Port 2"" cc 0 32 pc 98",,,layered,,,,,,,,,,,,,,,,,,,,,,layered,,,,,,,,,,,,,,,,,,
,32,104,,33,105,,pcs dandelion,bowed,bright + echo + evolving + icy + portamento + synthetic,"sendmidi dev ""Osmose Port 2"" cc 0 32 pc 104",bright,echo + evolving + icy,portamento,synthetic,,,,,,,bright,,,,,,,echo,,,evolving,,icy,,,,,,,,,portamento,,,,,,,,synthetic,,,
,32,123,,33,124,,pressow,bowed,acoustic,"sendmidi dev ""Osmose Port 2"" cc 0 32 pc 123",acoustic,,,,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,18,,34,19,,roto string,bowed,acoustic + airy + lfo + noise,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 18",acoustic + airy,,lfo + noise,,acoustic,,airy,,,,,,,,,,,,,,,,,,,lfo,,,,,noise,,,,,,,,,,,,
